farm_id,pb_crop,pb_p_Rice,pb_p_Cotton,pb_p_Maize,pb_p_Bajra,pb_p_Groundnut
1,Rice,0.99989738373109,2.2893362706711582e-09,2.220112931385927e-09,0.00010123562293121677,1.3761365294583641e-06
2,Rice,0.9993628638471983,8.011810596530523e-07,1.2006358875645988e-06,0.0006092171915326287,2.5917144321703242e-05
3,Rice,0.3571364419964672,9.730731218217566e-06,1.0861892224382495e-09,7.394996992228637e-05,0.6427798762162031
4,Maize,8.604513943490952e-08,0.03486073708019709,0.9651391640670919,1.0702207436726308e-08,2.1053642332337876e-09
5,Groundnut,0.032997738770838905,0.0004128161131183351,9.943171926788158e-10,1.1133202247265667e-09,0.9665894430084052
6,Cotton,0.00011835050839025161,0.9776309434983209,0.021859506655502077,0.00020195471330841373,0.00018924462447840172
7,Bajra,0.00030278844997073696,8.462299645996905e-08,2.2634338457424616e-09,0.9996423420295305,5.478263406850442e-05
8,Groundnut,0.02966429419824305,0.00017048371874486574,0.000291262295417613,0.29098760831291814,0.6788863514746762
9,Cotton,5.7900929646971735e-06,0.9999299301159119,2.832312915457389e-05,3.2738455686940386e-08,3.5923923512846364e-05
10,Cotton,0.0003408041902757362,0.9996365537839083,1.126983547908422e-06,3.2217638682319196e-09,2.15118205042345e-05
11,Cotton,0.09796076476045776,0.8115214802586879,0.05060696507721917,0.023270643741763682,0.01664014616187164
12,Cotton,3.599801351822439e-05,0.9999287649387348,1.4010008127318634e-05,2.0884852250190886e-05,3.4218736943356097e-07
13,Rice,0.6137547467342155,0.0060690427091496255,1.5004535627439e-05,0.08426984430506984,0.29589136171593744
14,Cotton,9.866313844367785e-10,0.9999999923027163,4.711422010509157e-09,1.0000563829202356e-09,9.991740954740871e-10
15,Cotton,8.43944743509603e-05,0.9702615088716036,1.8366910701583715e-05,1.2165382549006856e-05,0.029623564360794906
16,Groundnut,9.874469203448988e-10,1.198009345755884e-09,9.939006006168266e-10,1.080899294508077e-09,0.999999995739744
17,Cotton,3.0649191827994773e-08,0.9992426382596876,9.930801279951191e-10,0.0002609828750007285,0.0004963472230397624
18,Cotton,0.009524751872390484,0.708950960374869,6.633113908974896e-07,1.0004181703507565e-09,0.2815236234409314
19,Groundnut,0.021135249745194932,0.0004274328178530851,9.436917354977791e-07,0.12312287799014698,0.8553134957550695
20,Rice,0.9997645475711678,0.00021752994773881115,1.2770319620900072e-09,2.065383301812698e-09,1.7919138678102383e-05
21,Rice,0.9999998420210315,2.65419809576235e-08,1.0065357216008084e-09,2.0656538652403046e-09,1.2836479803074762e-07
22,Cotton,0.039103577362529326,0.9608961637849273,9.9360591222022e-10,1.0005862570864331e-09,2.5685835125113324e-07
23,Bajra,6.118671542119116e-08,1.1083450859031453e-09,9.930237452555885e-10,0.9999999357127979,9.991177625413589e-10
24,Rice,0.9999995480600523,4.4695670770352645e-07,1.006535717541471e-09,2.0656534998178003e-09,1.9110508294241414e-09
25,Cotton,0.00019804133518335352,0.9651282553923116,5.487784530198765e-08,2.5884560579137233e-09,0.0346736458062036
26,Rice,0.9992900484961402,0.0005553705706326989,8.099133461734511e-07,3.8792894003804055e-05,0.00011497812587703534
27,Rice,0.9607266322431527,0.01737076479731048,0.010443320027933413,0.010090611500159413,0.001368671431443919
28,Rice,0.948078468006122,0.04719784333470896,1.928565619739786e-06,4.944648456056351e-06,0.004716815445093137
29,Rice,0.999673097383287,9.479453807203508e-06,0.00026030624494346045,5.179086762487774e-05,5.326050337413785e-06
30,Cotton,9.866313838100759e-10,0.9999999960210584,9.930797339605185e-10,1.0000563822850055e-09,9.991740948394177e-10
31,Maize,0.00028509638754119974,0.021375530949036225,0.97833337089611,5.091913288553976e-07,5.492575983523437e-06
32,Rice,0.9364820988491177,0.0006772696477428381,8.560611444865183e-05,0.06274180362545716,1.3221763233546977e-05
33,Rice,0.7821372675754513,0.21785183913853684,2.3800559822977635e-06,1.812195709873745e-09,8.511417833596454e-06
34,Rice,0.9997974817928519,5.991383746535911e-06,1.006533159858189e-09,2.065453523793071e-09,0.00019652375141486462
35,Rice,0.8957613079245937,5.9155540887991485e-05,0.09947939259241378,0.004543328975652142,0.0001568149664522939
36,Maize,0.05272975010702248,9.441576790973809e-05,0.9453115136703321,0.0018440297957821638,2.0290658953496194e-05
37,Rice,0.9966830006084824,0.002461756677164031,2.2847541144660675e-07,2.9129136865188754e-06,0.0008521013252555673
38,Rice,0.9996531799631183,5.212976422102101e-06,7.712863756797583e-08,9.536472241879443e-07,0.00034057628459795115
39,Rice,0.9862705473459881,0.013725070977562159,4.029044811843567e-08,2.0496819048718437e-09,4.33933631968175e-06
40,Rice,0.9988487537107009,0.0010389782924473258,3.0754424943654e-05,7.596086446860685e-07,8.075396326345593e-05
41,Cotton,9.866313838100759e-10,0.9999999960210584,9.930797339605185e-10,1.0000563822850055e-09,9.991740948394177e-10
42,Cotton,9.866313838100759e-10,0.9999999960210584,9.930797339605185e-10,1.0000563822850055e-09,9.991740948394177e-10
43,Rice,0.6638927289910668,0.3244098400256696,0.00024209100256242819,8.794618288883483e-06,0.011446545362412373
44,Cotton,4.011346163673537e-05,0.9998994672230154,2.2727994901527452e-05,4.959006351853024e-08,3.76417303828887e-05
45,Cotton,1.392660776818734e-06,0.9999552596955982,1.1744423687817653e-06,8.376489183102389e-08,4.2089436364410686e-05
46,Cotton,3.66895337696792e-07,0.9995970994614817,0.000390379820214938,1.6785905698920258e-08,1.213703706015971e-05
47,Cotton,2.2823774853454442e-05,0.9999728300478008,4.281956461238491e-06,1.000056722761899e-09,6.322082790162249e-08
48,Cotton,0.04119049636489694,0.9560550628385737,0.002752391835564961,6.3745276622679214e-09,2.0425864366162432e-06
49,Rice,0.9955837303369263,0.00016452611021881182,1.0064797884563481e-09,2.061275689094114e-09,0.00425174048509947
50,Cotton,7.055357191923613e-08,0.9999057501767202,9.41772704759253e-05,1.0000570406978774e-09,9.99174752671413e-10
51,Cotton,3.995720003553234e-05,0.9993648181874908,9.930807609253024e-10,1.0000574164644893e-09,0.0005952226193356057
52,Cotton,3.795690965819765e-06,0.9999246025999613,7.11819026450881e-05,1.0000569314332603e-09,4.188063709386818e-07
53,Cotton,0.008224707394576713,0.9696687661115796,0.02134657710103323,3.2504923288695894e-07,0.0007596243435774789
54,Maize,6.149845982989658e-07,0.07405712622715344,0.8769086682951369,0.04903243898951523,1.1515035959734542e-06
55,Maize,3.747897454264999e-08,0.009565919568220055,0.990433911213301,1.2960083850665513e-07,2.1386657848844406e-09
56,Rice,0.9998130635287672,2.654126735494599e-05,5.925260082490827e-09,0.00015912053280726275,1.2687458103896267e-06
57,Rice,0.9983843449337889,2.289922258265058e-09,0.0016156386773903276,1.2187459122339481e-08,1.91143938830271e-09
58,Cotton,2.6864069199046987e-05,0.9999295253873396,4.3608411369625436e-05,1.0000570515201227e-09,1.132034968524718e-09
59,Cotton,2.1542177278072104e-09,0.9999997610048849,2.3484166689766126e-07,1.0000563850971357e-09,9.99174097649067e-10
60,Cotton,0.0005922514467725893,0.7913943704300352,8.34792495745629e-06,0.11403032403182559,0.09397470616640916
