farm_id,crop_type,health_index,pred_se,health_sd_pts
1,Rice,24.86,0.054283791984698626,5.893787828934645
2,Rice,37.96,0.061453196654975895,6.6721960506428495
3,Rice,53.54,0.03608568057550752,3.917952987416568
5,Groundnut,5.79,0.036955151090916794,4.0123545491715245
6,Cotton,30.19,0.032299010534802344,3.506820511549914
7,Bajra,43.96,0.06864705710154913,7.453259524525055
8,Groundnut,21.34,0.027904911708988633,3.0297372933028006
9,Cotton,50.62,0.055443362971177,6.019686649135312
10,Cotton,30.52,0.04911304183642473,5.3323807647607016
11,Cotton,14.8,0.04604468415052456,4.999238061887732
12,Cotton,36.1,0.0381676942075116,4.144004745323248
13,Rice,68.88,0.04401460113338732,4.778824598850681
14,Cotton,74.98,0.06819160425409071,7.4038093599204755
20,Rice,77.43,0.046349438246826954,5.032326317478118
21,Rice,90.77,0.03458165172260321,3.7546551295566637
22,Cotton,7.76,0.05210649018957597,5.657390290169691
24,Rice,24.84,0.06878405150768233,7.46813350318387
25,Cotton,50.0,0.08922432879153484,9.687408411421252
26,Rice,94.16,0.03914248304675475,4.249841098799292
27,Rice,70.67,0.03458415263910738,3.754926663116029
28,Cotton,41.89,0.048688674298378136,5.286305644742575
29,Rice,79.4,0.0335338345700265,3.640889827704753
30,Cotton,96.39,0.058621967239899146,6.364799222650349
31,Maize,77.0,0.03446677803086942,3.7421828769477035
32,Rice,25.51,0.08250619078348409,8.957995845031016
33,Cotton,14.39,0.033615823937952705,3.6497917102210247
34,Rice,85.36,0.035098193158093975,3.8107379033336697
35,Rice,55.59,0.02700516321851272,2.932048342174183
36,Maize,15.61,0.026728491044732645,2.902009042581967
37,Rice,69.59,0.03520076993274166,3.8218750351339
38,Rice,46.15,0.03750774130277439,4.0723512691124
39,Cotton,9.64,0.046443693004187284,5.042559897731799
40,Cotton,41.51,0.03355382240609123,3.643059979431777
41,Cotton,97.01,0.029502940904813934,3.203241108719605
42,Cotton,99.12,0.023432687653171344,2.5441717359836935
43,Cotton,31.73,0.037155300450258895,4.034085489751211
44,Cotton,40.55,0.045125245032781286,4.899411228067258
45,Cotton,54.51,0.04452721044533756,4.834480447738734
47,Cotton,72.99,0.027869592495005473,3.025902558368289
48,Cotton,23.02,0.03684909044013094,4.000839160325683
49,Rice,86.31,0.02158968411805968,2.344070169626898
53,Cotton,62.8,0.07258550502188713,7.880871074291587
54,Maize,75.68,0.0688402721275502,7.474237579428319
55,Maize,99.29,0.06352434120641949,6.897067713121835
56,Rice,51.79,0.046975730537463546,5.100325138948623
58,Cotton,81.62,0.12101831234474782,13.139396315142038
59,Cotton,48.56,0.032409749929608336,3.5188438885733
60,Groundnut,82.86,0.04463333416178033,4.846002683851274
61,Cotton,21.59,0.04910865588433417,5.331904566062995
62,Cotton,16.19,0.04360271155074232,4.734104255626642
63,Rice,91.23,0.030064869229708538,3.264251701401321
64,Cotton,30.89,0.030648494272240256,3.3276179852693404
65,Rice,92.2,0.027216829538873208,2.9550297209085143
66,Rice,82.3,0.03396004219496201,3.6871647326183985
67,Cotton,97.57,0.032275953700856515,3.5043171476117054
68,Cotton,17.92,0.04136672220671005,4.491334797199721
69,Cotton,94.71,0.026761185361731082,2.9055587829474714
70,Cotton,58.94,0.026827516234935983,2.9127605660006495
71,Groundnut,77.16,0.03801022479505395,4.126907721098521
72,Maize,59.89,0.043703725557715976,4.745071712082541
73,Maize,6.21,0.04897950794241036,5.317882506431328
74,Cotton,95.87,0.03436944524001074,3.7316151034531613
75,Cotton,11.01,0.027255892633040433,2.959270942469238
76,Cotton,11.82,0.024499752846420888,2.660026867298519
77,Cotton,10.74,0.028592156557013425,3.1043539546062022
78,Rice,26.67,0.04305966309814895,4.675143519034792
79,Rice,32.18,0.03661413263272738,3.97532894051682
80,Rice,30.49,0.020407403357106117,2.2157056669912705
81,Maize,88.03,0.020680132355590956,2.245316841765512
82,Maize,34.86,0.025288916058364325,2.7457091743655395
83,Cotton,8.67,0.03651724674284325,3.964809688679079
84,Cotton,78.77,0.08370389968686677,9.08803543694739
85,Cotton,98.47,0.022941501291853964,2.4908418544071242
86,Cotton,98.03,0.016577294420116365,1.7998568728855258
87,Cotton,27.35,0.03068326374856792,3.3313930331962824
88,Rice,76.6,0.04819103118076704,5.232274729758668
89,Rice,55.26,0.032545452801738456,3.5335776407094337
90,Cotton,47.34,0.05469471212227269,5.9384029159974805
91,Cotton,48.28,0.06378725281645553,6.925612978488573
92,Cotton,48.21,0.05881972301337605,6.386270282946731
93,Cotton,39.19,0.1289495968306333,14.00052458679827
94,Cotton,44.29,0.0561314701685314,6.094396938827544
95,Cotton,77.19,0.056905411964562454,6.178426601660188
96,Cotton,62.32,0.021495695590869023,2.3338654949466187
97,Cotton,8.59,0.033338321340498286,3.619662248523956
98,Cotton,71.32,0.05137389557120496,5.577849840112054
99,Cotton,74.7,0.13113931328660297,14.238270030238365
100,Maize,53.94,0.02292539657995955,2.489093307530028
101,Cotton,47.26,0.029608182979498982,3.2146676217945465
102,Cotton,42.37,0.03459916427841964,3.7565565311454385
103,Cotton,99.98,0.027813295634573604,3.0197902044097793
104,Groundnut,75.36,0.02440503307640236,2.649742798936971
105,Cotton,98.34,0.0278501908073315,3.0237960468941845
106,Cotton,98.77,0.0206283386814495,2.2396934150462298
107,Cotton,11.48,0.05219677915131582,5.667193289634789
108,Cotton,98.72,0.0222665458174299,2.417559494888934
109,Cotton,7.81,0.04437246914936396,4.817679624997761
110,Cotton,97.54,0.03394368280832696,3.685388534782667
111,Groundnut,44.88,0.019812573953209775,2.1511228850447752
112,Maize,67.67,0.037526829970119344,4.0744237948361
113,Rice,84.76,0.049984055283570396,5.426949848200425
114,Groundnut,0.53,0.017191195844104036,1.866510373103124
115,Cotton,61.1,0.022077842597548098,2.3970713031109234
116,Groundnut,42.09,0.02002547330029572,2.174238137954833
117,Cotton,95.19,0.030651251972485864,3.327917398769193
118,Rice,63.75,0.02584698341773894,2.8063005680422184
119,Cotton,93.27,0.03679303412845116,3.994752923616089
120,Cotton,78.41,0.02533231533653262,2.750421191122308
121,Cotton,93.43,0.024568075244375303,2.6674448774040194
