farm_id,n,cv,pred_se,obs_half_sd,pred_half_sd,ratio
1,66,0.44100361083296136,0.054283791984698626,0.09454465000436074,0.10856758396939725,0.8708368239180007
2,55,0.4557491040598245,0.061453196654975895,0.11355788282715097,0.12290639330995179,0.9239379642422242
3,148,0.43900125137001483,0.03608568057550752,0.0683152300292765,0.07217136115101504,0.9465697880677383
5,165,0.47469751074253663,0.036955151090916794,0.058735047463726715,0.07391030218183359,0.7946801153542463
6,259,0.5198033812082831,0.032299010534802344,0.06720026082186567,0.06459802106960469,1.0402835831372768
7,46,0.465586993633149,0.06864705710154913,0.13344469447821503,0.13729411420309826,0.9719622378043912
8,283,0.4694332749056735,0.027904911708988633,0.06459863148993271,0.055809823417977265,1.1574777975220116
9,117,0.5997116642302205,0.055443362971177,0.09231742932876379,0.110886725942354,0.8325381468721177
10,92,0.4710757484898042,0.04911304183642473,0.07095439831260585,0.09822608367284946,0.7223580098024234
11,130,0.5249901732487988,0.04604468415052456,0.09079277516956444,0.09208936830104912,0.9859202733669972
12,127,0.4301280691863768,0.0381676942075116,0.05985165838999492,0.0763353884150232,0.7840617521272192
13,125,0.4920982006839667,0.04401460113338732,0.043776050288452655,0.08802920226677464,0.49729009420974035
14,67,0.5581723368996506,0.06819160425409071,0.13750699900475177,0.13638320850818142,1.008239947636244
20,79,0.411962818271161,0.046349438246826954,0.0970695352881953,0.09269887649365391,1.047148994247418
21,162,0.4401525678783153,0.03458165172260321,0.07086231980124205,0.06916330344520642,1.0245652863788042
22,108,0.5415065304746091,0.05210649018957597,0.10679647838385467,0.10421298037915194,1.024790558674201
24,58,0.5238437295845649,0.06878405150768233,0.13542188214579393,0.13756810301536465,0.984398848115751
25,16,0.3568973151661394,0.08922432879153484,0.1741040226724348,0.1784486575830697,0.9756533057212133
26,133,0.4514131358475396,0.03914248304675475,0.057044494864756184,0.0782849660935095,0.7286775189583389
27,154,0.42917804757445593,0.03458415263910738,0.07875551655396788,0.06916830527821476,1.1386069997983992
28,61,0.38027070265923246,0.048688674298378136,0.10578931487089906,0.09737734859675627,1.0863852466242134
29,162,0.4268160328257649,0.0335338345700265,0.05360834507036729,0.067067669140053,0.799317253122671
30,82,0.5308444909125613,0.058621967239899146,0.10873024498251886,0.11724393447979829,0.9273848192228112
31,172,0.45202755613637796,0.03446677803086942,0.06892108327027913,0.06893355606173884,0.9998190606698348
32,21,0.37809086456778374,0.08250619078348409,0.13277260969254864,0.16501238156696818,0.804622104303516
33,194,0.46821424806526574,0.033615823937952705,0.06926804338911266,0.06723164787590541,1.0302892399270949
34,135,0.4078041527498072,0.035098193158093975,0.08545543666661733,0.07019638631618795,1.2173765794965217
35,313,0.4777701090100911,0.02700516321851272,0.05509836523759192,0.05401032643702544,1.0201450143397135
36,289,0.45438434776045494,0.026728491044732645,0.05224784486932113,0.05345698208946529,0.977381117061181
37,151,0.4325543026979725,0.03520076993274166,0.06371692258931434,0.07040153986548332,0.9050501269014666
38,137,0.4390168562778783,0.03750774130277439,0.0744087593168782,0.07501548260554879,0.9919120257899172
39,188,0.6368038352075407,0.046443693004187284,0.08972110696538549,0.09288738600837457,0.965912712381597
40,158,0.42176500766825425,0.03355382240609123,0.04863536973583629,0.06710764481218245,0.7247366506745178
41,302,0.5127064497877405,0.029502940904813934,0.06218687119880931,0.05900588180962787,1.053909700043876
42,438,0.4904098210529402,0.023432687653171344,0.04387637135108512,0.04686537530634269,0.9362214868499508
