farm_id,crop_type,pred_se,r_health,r_wit,disagree
1,Rice,0.054283791984698626,0.2441860465116279,0.1744186046511628,0.0697674418604651
2,Rice,0.061453196654975895,0.37209302325581395,0.011627906976744186,0.36046511627906974
3,Rice,0.03608568057550752,0.5697674418604651,0.7558139534883721,0.18604651162790697
5,Groundnut,0.036955151090916794,0.05555555555555555,0.08333333333333333,0.027777777777777776
6,Cotton,0.032299010534802344,0.30456852791878175,0.21065989847715735,0.0939086294416244
7,Bajra,0.06864705710154913,0.45390070921985815,0.524822695035461,0.07092198581560283
8,Groundnut,0.027904911708988633,0.2037037037037037,0.25462962962962965,0.05092592592592596
9,Cotton,0.055443362971177,0.5126903553299492,0.7944162436548223,0.2817258883248731
10,Cotton,0.04911304183642473,0.30710659898477155,0.46446700507614214,0.15736040609137059
11,Cotton,0.04604468415052456,0.12944162436548223,0.2715736040609137,0.14213197969543145
12,Cotton,0.0381676942075116,0.3629441624365482,0.10406091370558376,0.25888324873096447
13,Rice,0.04401460113338732,0.6627906976744186,0.22093023255813954,0.441860465116279
14,Cotton,0.06819160425409071,0.7284263959390863,0.2817258883248731,0.4467005076142132
20,Rice,0.046349438246826954,0.7790697674418605,0.7906976744186046,0.011627906976744096
21,Rice,0.03458165172260321,0.9186046511627907,0.4883720930232558,0.43023255813953487
22,Cotton,0.05210649018957597,0.04568527918781726,0.06091370558375635,0.01522842639593909
24,Rice,0.06878405150768233,0.23255813953488372,0.5348837209302325,0.3023255813953488
25,Cotton,0.08922432879153484,0.5076142131979695,0.19289340101522842,0.31472081218274106
26,Rice,0.03914248304675475,0.9767441860465116,0.43023255813953487,0.5465116279069767
27,Rice,0.03458415263910738,0.6976744186046512,0.47674418604651164,0.22093023255813954
28,Cotton,0.048688674298378136,0.41116751269035534,0.5,0.08883248730964466
29,Rice,0.0335338345700265,0.8023255813953488,0.023255813953488372,0.7790697674418604
30,Cotton,0.058621967239899146,0.8984771573604061,0.8629441624365483,0.035532994923857864
31,Maize,0.03446677803086942,0.8125,0.08333333333333333,0.7291666666666666
32,Rice,0.08250619078348409,0.2558139534883721,0.3023255813953488,0.046511627906976716
33,Cotton,0.033615823937952705,0.11548223350253807,0.20812182741116753,0.09263959390862946
34,Rice,0.035098193158093975,0.8953488372093024,0.627906976744186,0.2674418604651163
35,Rice,0.02700516321851272,0.5930232558139535,0.12790697674418605,0.4651162790697675
36,Maize,0.026728491044732645,0.10416666666666667,0.4166666666666667,0.3125
37,Rice,0.03520076993274166,0.6744186046511628,0.16279069767441862,0.5116279069767442
38,Rice,0.03750774130277439,0.47674418604651164,0.10465116279069768,0.37209302325581395
39,Cotton,0.046443693004187284,0.07360406091370558,0.3096446700507614,0.23604060913705582
40,Cotton,0.03355382240609123,0.40609137055837563,0.23857868020304568,0.16751269035532995
41,Cotton,0.029502940904813934,0.9035532994923858,0.7969543147208121,0.1065989847715737
42,Cotton,0.023432687653171344,0.9746192893401016,1.0,0.025380710659898442
43,Cotton,0.037155300450258895,0.32741116751269034,0.2918781725888325,0.035532994923857864
44,Cotton,0.045125245032781286,0.4010152284263959,0.34517766497461927,0.05583756345177665
45,Cotton,0.04452721044533756,0.5532994923857868,0.3629441624365482,0.1903553299492386
47,Cotton,0.027869592495005473,0.7030456852791879,0.6624365482233503,0.040609137055837574
48,Cotton,0.03684909044013094,0.21065989847715735,0.18781725888324874,0.022842639593908615
49,Rice,0.02158968411805968,0.9069767441860465,0.23255813953488372,0.6744186046511628
53,Cotton,0.07258550502188713,0.6294416243654822,0.5304568527918782,0.09898477157360408
54,Maize,0.0688402721275502,0.7708333333333334,0.625,0.14583333333333337
55,Maize,0.06352434120641949,1.0,0.2916666666666667,0.7083333333333333
56,Rice,0.046975730537463546,0.5465116279069767,0.20930232558139536,0.33720930232558133
58,Cotton,0.12101831234474782,0.7969543147208121,0.4847715736040609,0.3121827411167512
59,Cotton,0.032409749929608336,0.49746192893401014,0.6675126903553299,0.17005076142131975
60,Groundnut,0.04463333416178033,0.8287037037037037,0.5879629629629629,0.2407407407407408
61,Cotton,0.04910865588433417,0.18781725888324874,0.4137055837563452,0.22588832487309646
62,Cotton,0.04360271155074232,0.14213197969543148,0.12944162436548223,0.012690355329949249
63,Rice,0.030064869229708538,0.9534883720930233,0.06976744186046512,0.8837209302325582
64,Cotton,0.030648494272240256,0.3147208121827411,0.3350253807106599,0.020304568527918787
65,Rice,0.027216829538873208,0.9651162790697675,0.046511627906976744,0.9186046511627908
66,Rice,0.03396004219496201,0.8488372093023255,0.03488372093023256,0.813953488372093
67,Cotton,0.032275953700856515,0.9213197969543148,0.3020304568527919,0.6192893401015229
68,Cotton,0.04136672220671005,0.1598984771573604,0.13705583756345177,0.022842639593908642
69,Cotton,0.026761185361731082,0.8756345177664975,0.09644670050761421,0.7791878172588833
70,Cotton,0.026827516234935983,0.6015228426395939,0.10913705583756345,0.49238578680203043
71,Groundnut,0.03801022479505395,0.7731481481481481,0.20833333333333334,0.5648148148148148
72,Maize,0.043703725557715976,0.6041666666666666,0.875,0.27083333333333337
73,Maize,0.04897950794241036,0.020833333333333332,0.25,0.22916666666666666
74,Cotton,0.03436944524001074,0.8908629441624365,0.9416243654822335,0.050761421319796995
75,Cotton,0.027255892633040433,0.08883248730964467,0.23096446700507614,0.14213197969543145
76,Cotton,0.024499752846420888,0.09644670050761421,0.32741116751269034,0.2309644670050761
77,Cotton,0.028592156557013425,0.08629441624365482,0.04314720812182741,0.04314720812182741
78,Rice,0.04305966309814895,0.26744186046511625,0.46511627906976744,0.19767441860465118
79,Rice,0.03661413263272738,0.313953488372093,0.36046511627906974,0.046511627906976716
80,Rice,0.020407403357106117,0.29069767441860467,0.19767441860465115,0.09302325581395351
81,Maize,0.020680132355590956,0.9583333333333334,0.3958333333333333,0.5625
82,Maize,0.025288916058364325,0.3125,0.9166666666666666,0.6041666666666666
83,Cotton,0.03651724674284325,0.0583756345177665,0.4289340101522843,0.37055837563451777
84,Cotton,0.08370389968686677,0.766497461928934,0.4949238578680203,0.2715736040609137
85,Cotton,0.022941501291853964,0.9441624365482234,0.9695431472081218,0.025380710659898442
86,Cotton,0.016577294420116365,0.934010152284264,0.9923857868020305,0.058375634517766506
87,Cotton,0.03068326374856792,0.2614213197969543,0.18527918781725888,0.07614213197969544
88,Rice,0.04819103118076704,0.7674418604651163,0.7093023255813954,0.05813953488372092
