farm_id,crop_type,health_index,dw_mode,dw_crops,dw_built,dw_water,dw_trees,wc_crop,wc_maize,wc_irrig
1,Rice,24.86,4.0,0.4875004224360565,0.1566417924397397,0.0348086245264577,0.04986709692719419,100.0,0.0,0.0
2,Rice,37.96,4.0,0.4944450577769223,0.1891403029590092,0.03777601335523057,0.036070863996913796,100.0,0.0,5.167916530811867
3,Rice,53.54,4.569883947235638,0.4074530089593933,0.28612015194955054,0.03377174619645493,0.05037338456624517,100.0,0.0,3.604123116845671
4,Maize,96.76,4.0,0.49428412406606326,0.15114166264836276,0.04054621635009892,0.059466251012665186,100.0,0.0,100.0
5,Groundnut,5.79,4.341646519913475,0.41020836191032967,0.25341194889436625,0.04499219324356693,0.05374165493943921,100.0,0.0,98.85481613436824
6,Cotton,30.19,4.0,0.4464667375403067,0.1699224596263128,0.0496661220504116,0.061490132726998,100.0,0.0,92.40146457032093
7,Bajra,43.96,4.0,0.5046164165779189,0.12083044335514025,0.042957011057183705,0.05419245607979515,100.0,0.0,100.0
8,Groundnut,21.34,4.0,0.45039782131030387,0.15091300318258907,0.03943019447816573,0.055217511846060635,94.42240751234519,0.0,0.2610306500505221
9,Cotton,50.62,2.358670245000433,0.26380453466327064,0.11005972178098714,0.04037905221394343,0.17244858464622145,100.0,0.0,0.0
10,Cotton,30.52,3.9994385176866927,0.4727104686513347,0.08750018932142156,0.03462137253257125,0.09474114843547635,89.87460228336141,0.0,0.0
11,Cotton,14.8,3.8268384151312573,0.39038294278926966,0.14399398555994694,0.03953890168655214,0.1234906225132924,83.32789825533997,0.0,0.0
12,Cotton,36.1,3.7843406593406597,0.4768327985153811,0.11943734936706703,0.04346932795861705,0.09506402366278224,84.10518053375195,0.0,8.014138353891653
13,Rice,68.88,4.061787642471506,0.39401555030424634,0.2428073808154067,0.04586735059019112,0.06535722572872826,97.39802039592081,0.0,100.0
14,Cotton,74.98,4.0,0.45036806243867183,0.1458645846776603,0.03927257027652657,0.10326541332638502,0.0,0.0,100.0
15,Cotton,28.85,5.780674846625767,0.26881226386447826,0.3581319554394648,0.041531392840270034,0.08799300423028386,0.0,,
16,Groundnut,40.5,5.787925696594427,0.268536139991864,0.3583752113826941,0.04152888880834278,0.08807178199498109,0.0,,
17,Cotton,75.49,,,,,,,,
18,Cotton,5.56,,,,,,,,
19,Bajra,73.98,,,,,,,,
20,Rice,77.43,4.084614667784923,0.4347726607045243,0.14625221038927488,0.039940674708753995,0.11842064388334263,66.91827415897868,0.0,0.0
21,Rice,90.77,4.0,0.5212973660570012,0.11188365107209135,0.03954654174288809,0.05040146611976732,100.0,0.0,0.7567635744466166
22,Cotton,7.76,4.0,0.5026975751560849,0.12280300976430665,0.04396120395644813,0.05968290856691783,100.0,0.0,0.0
